Customer Name,Sales,Profit,Orders
Sean Miller,25043.05,-1980.7393,5
Tamara Chand,19052.218,8981.323900000001,5
Raymond Buch,15117.339,6976.0959,6
Tom Ashbrook,14595.62,4703.7883,4
Adrian Barton,14473.570999999998,5444.8055,10
Ken Lonsdale,14175.229000000001,806.855,12
Sanjit Chand,14142.333999999999,5757.411899999999,9
Hunter Lopez,12873.297999999999,5622.4292000000005,6
Sanjit Engle,12209.438000000002,2650.6769,11
Christopher Conant,12129.072000000002,2177.0493,5
Todd Sumrall,11891.751,2371.7144000000003,6
Greg Tran,11820.119999999999,2163.4268999999995,11
Becky Martin,11789.63,-1659.9581,4
Seth Vernon,11470.949999999999,1199.4242000000002,10
Caroline Jumper,11164.974,858.7413999999999,8
Clay Ludtke,10880.546,1933.7831,12
Maria Etezadi,10663.728000000001,1859.4695,10
Karen Ferguson,10604.266,1660.1386,7
Bill Shonely,10501.653,2616.0643999999998,5
Edward Hooks,10310.880000000001,1393.5153999999998,12
John Lee,9799.923,228.907,11
Grant Thornton,9351.212,-4108.6589,3
Helen Wasserman,9300.254,2164.1611000000003,8
Tom Boeckenhauer,9133.99,2798.3689,7
Peter Fuller,9062.864,-614.2943000000002,4
Christopher Martinez,8954.019999999999,3899.8903999999998,4
Justin Deggeller,8828.0305,1619.5198999999998,8
Joe Elijah,8697.842999999999,1262.2925999999998,10
Laura Armstrong,8673.222,2059.1198999999997,11
Pete Kriz,8646.934,2038.2676000000001,12
Daniel Raglin,8350.868,2869.0759999999996,8
Natalie Fritzler,8322.826,-1695.9714000000001,7
Karen Daniels,8282.358,1107.6952000000003,5
Nick Crebassa,8241.739,1314.758,7
Harry Marie,8236.7648,2437.9836,10
Keith Dawkins,8181.256,3038.6254,12
Sean Braxton,8057.891,-2082.745100000001,7
Zuschuss Carroll,8025.707,-1032.1490000000001,13
Joseph Holt,7954.9980000000005,-644.6982000000003,6
Nora Preis,7903.1825,631.2281999999999,7
Anna HÃÂ¤berlin,7888.294,1298.0166,12
